time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
8.75,0.010442,0.004917333,0.003599333,0.0036682,0.002622,0.002632266,0.006552667,0.00265
8.833333,0.010658,0.005031333,0.003571333,0.00366006,0.0029,0.002876504,0.006890667,0.00318
8.916667,0.01101,0.005117333,0.003765333,0.003740454,0.003038,0.003049812,0.007116667,0.00358
9,0.01139,0.005289333,0.004071333,0.004099457,0.003038,0.003096796,0.007286667,0.00504
9.083333,0.011634,0.005603333,0.004463333,0.004584828,0.003316,0.00331253,0.007426667,0.00451
9.166667,0.012068,0.006059333,0.004659333,0.004730864,0.003594,0.003641337,0.007708667,0.00451
9.25,0.012258,0.006429333,0.004909333,0.004935759,0.003732,0.003798126,0.007906667,0.00491
9.333333,0.012638,0.006713333,0.005021333,0.005152184,0.003872,0.003919659,0.008048667,0.00531
9.416667,0.012828,0.006883333,0.005133333,0.005273901,0.004012,0.00411121,0.008502667,0.00504
9.5,0.0131,0.006883333,0.005075333,0.005208326,0.004012,0.003988862,0.008730667,0.00424
9.583333,0.013046,0.006911333,0.005103333,0.005085312,0.00415,0.004202812,0.009014667,0.00531
9.666667,0.013156,0.007025333,0.005329333,0.005211477,0.004012,0.004104668,0.008986667,0.00665
9.75,0.013212,0.007055333,0.005415333,0.005401048,0.004012,0.003977925,0.009044667,0.00491
9.833333,0.01335,0.006999333,0.005613333,0.005502193,0.004012,0.003986396,0.008846667,0.00585
9.916667,0.013486,0.007369333,0.005755333,0.005799899,0.003872,0.003899814,0.008902667,0.00464
10,0.013758,0.007313333,0.005953333,0.00586798,0.003872,0.003813403,0.008902667,0.00585
10.083333,0.013812,0.007227333,0.005953333,0.005953333,0.003872,0.003864982,0.008958667,0.00571
10.166667,0.013648,0.007169333,0.006037333,0.006090833,0.003732,0.00363933,0.009070667,0.00585
10.25,0.013648,0.007255333,0.006459333,0.006419333,0.003592,0.003515931,0.009012667,0.00638
10.333333,0.013484,0.007141333,0.006403333,0.007185333,0.003592,0.003536728,0.008956667,0.00558
10.416667,0.01343,0.007113333,0.006403333,0.007623333,0.003454,0.003416994,0.008870667,0.00598
10.5,0.013484,0.007313333,0.006403333,0.007951333,0.003314,0.003338913,0.009040667,0.00531
10.583333,0.013566,0.007399333,0.006403333,0.008005333,0.003314,0.00324318,0.009012667,0.00491
10.666667,0.013402,0.007427333,0.006065333,0.008223333,0.003314,0.003328672,0.009240667,0.00585
10.75,0.013484,0.007541333,0.006149333,0.007975333,0.003454,0.003443042,0.009296667,0.00692
10.833333,0.013674,0.007741333,0.006149333,0.007783333,0.003314,0.003275709,0.009468667,0.00585
10.916667,0.013674,0.007741333,0.006345333,0.007483333,0.003454,0.003497947,0.009640667,0.00585
11,0.01392,0.008027333,0.006401333,0.007729333,0.003594,0.003573481,0.009640667,0.00638
11.083333,0.013974,0.008055333,0.006541333,0.007703333,0.003734,0.00366251,0.009640667,0.00531
11.166667,0.014166,0.008457333,0.006625333,0.007869333,0.003734,0.003688601,0.009982667,0.00585
11.25,0.014166,0.008513333,0.006597333,0.008005333,0.003874,0.003933122,0.010180667,0.00531
11.333333,0.014358,0.008571333,0.006625333,0.008251333,0.003874,0.00396877,0.010094667,0.00665
11.416667,0.014384,0.008457333,0.006821333,0.008305333,0.003874,0.003867019,0.010350667,0.00585
11.5,0.014658,0.008715333,0.006765333,0.008331333,0.004012,0.004074577,0.010492667,0.00571
11.583333,0.014794,0.008427333,0.006933333,0.008083333,0.00415,0.004187584,0.010520667,0.00611
11.666667,0.014958,0.008427333,0.007213333,0.008193333,0.004288,0.004392398,0.010606667,0.00611
11.75,0.015122,0.008627333,0.007495333,0.008165333,0.004426,0.0045111,0.010948667,0.00678
11.833333,0.015342,0.008741333,0.007721333,0.008111333,0.004564,0.004549832,0.011004667,0.00651
11.916667,0.015396,0.008797333,0.007805333,0.007865333,0.004564,0.004614064,0.011202667,0.00786
12,0.01545,0.009085333,0.007749333,0.007947333,0.004704,0.00459365,0.011374667,0.00772
12.083333,0.01545,0.009199333,0.007863333,0.007919333,0.004984,0.005008808,0.011374667,0.00839
12.166667,0.01556,0.009659333,0.007891333,0.007947333,0.005124,0.005173996,0.011460667,0.00625
12.25,0.015778,0.009859333,0.007779333,0.008001333,0.005264,0.005137798,0.011632667,0.00839
12.333333,0.015998,0.009945333,0.007835333,0.007973333,0.005404,0.005453205,0.011690667,0.00799
12.416667,0.016328,0.009859333,0.008089333,0.007947333,0.005404,0.005517305,0.011774667,0.00692
12.5,0.01674,0.009975333,0.008285333,0.007701333,0.005404,0.005298415,0.012174667,0.00759
12.583333,0.016876,0.009629333,0.008201333,0.007701333,0.005544,0.005478653,0.012374667,0.00839
12.666667,0.01685,0.009715333,0.008285333,0.007647333,0.005684,0.005564769,0.012602667,0.00839
12.75,0.016932,0.009831333,0.008455333,0.007621333,0.005824,0.00580094,0.012916667,0.00934
